addr:city,addr:housenumber,addr:postcode,addr:street,description,geometry,latitude,location_id,longitude,name,opening_hours,tags,website,zone,rating
New York,99,10014,Gansevoort Street,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-74.0089385 40.739633),40.739633,158,-74.0089385,Whitney Museum of American Art,"We-Th, Sa-Mo 10:30-18:00; Fr 10:30-22:00",museum,https://www.whitney.org/,Meatpacking/West Village West,4.5
New York,89,10017,East 42nd Street,"Whether its the Empire State Building or The Color Factory, Manhattan is not short of fun and interesting places to explore!",POINT (-73.9772748 40.7526474),40.7526474,162,-73.9772748,Grand Central Terminal,Mo-Su 05:30-02:00,attraction,https://www.grandcentralterminal.com/,Midtown East,4.5
New York,405,10174,Lexington Avenue,"Whether its the Empire State Building or The Color Factory, Manhattan is not short of fun and interesting places to explore!",POINT (-73.97518270647976 40.75226675026014),40.75226675,162,-73.97518271,Chrysler Building,Mo-Fr 08:00-18:00,attraction,https://www.tishmanspeyer.com/projects-investments,Midtown East,4.5
New York,2,10019,Columbus Circle,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.9820053 40.7673824),40.7673824,163,-73.9820053,Museum of Arts and Design,"Tu, We, Fr-Su 10:00-18:00; Th 10:00-21:00",museum,https://www.madmuseum.org/,Midtown North,4.5
New York,350,10018,5th Avenue,"Whether its the Empire State Building or The Color Factory, Manhattan is not short of fun and interesting places to explore!",POINT (-73.9856589 40.748442),40.748442,164,-73.9856589,Empire State Building,Mo-Su 08:00-02:00,attraction,https://www.esbnyc.com/explore,Midtown South,4.5
New York,476,10018,5th Avenue,"Whether its the Empire State Building or The Color Factory, Manhattan is not short of fun and interesting places to explore!",POINT (-73.9822454 40.7532182),40.7532182,164,-73.9822454,New York Public Library,"Mo,Th 08:00-20:00; Tu,We 08:00-21:00; Fr 08:00-18:00; Sa 10:00-18:00; Su 10:00-17:00",attraction,https://www.nypl.org/locations/schwarzman,Midtown South,4.5
New York,225,10016,Madison Avenue,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.9814793 40.7491907),40.7491907,170,-73.9814793,The Morgan Library & Museum,Tu-Su 10:00-17:30,museum,https://www.themorgan.org/,Murray Hill,4.5
New York,227,10010,W 27th Street,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.99426907354918 40.74668799155961),40.74668799,186,-73.99426907,The Museum at FIT,We-Fr 12:00-20:00; Sa-Su 10:00-17:00,museum,http://www.fitnyc.edu/museum,Penn Station/Madison Sq West,4.5
New York,11,10010,Madison Avenue,Searching for tranquility within the concrete jungle that is Manhattan? Look no further! This park provides a scenic sancturary away from the busy streets of New York City. Settle in and connect with Monther Nature,POINT(-73.98802066091562 40.7422926162491),40.74229262,234,-73.98802066,Madison Square Park,Mo-Su 06:00- 23:00,park,http://www.madisonsquarepark.org/,Union Sq,4.5
New York,223,10016,5th Avenue,Take a trip to the past as you travel by visiting this museum as you observing the rich history provided,POINT (-73.9873576 40.7440374),40.7440374,234,-73.9873576,Museum of Sex,"Mo-Th, Su 10:30-22:00; Fr, Sa 10:30-23:00",museum,https://www.museumofsex.com/,Union Sq,4.5
